,participant,filtered,overallWorkloadState,samples,coefficient,significance,RMSE,actualMean,actualStDev,predMean,predStDev
55,7,True,all,226,0.9732219768779181,5.115774348580048e-145,0.4516320828712037,1.8407079646017699,1.912077921179529,1.7671499252319336,1.7875330448150635
56,8,False,ol,1490,-0.03038548939356536,0.24112402087250592,2.5550444578265292,0.9610738255033557,1.7089857822538395,1.3069933652877808,1.8164013624191284
57,8,False,nl,510,0.21679839627625905,7.697252276276367e-07,1.652220279624751,0.5647058823529412,1.3928139846539993,0.46322470903396606,1.235116958618164
58,8,False,ul,1918,0.0594311309268357,0.009230701492648648,0.9187194141394309,0.2794577685088634,0.6934110560394702,0.1102309376001358,0.6211127638816833
59,8,False,all,3918,0.10987779588787953,5.3345190110008555e-12,1.8031075353089105,0.5758039816232772,1.3030950529659335,0.6113036870956421,1.3971272706985474
60,8,True,ol,160,0.9966007040272433,3.207158215753332e-173,0.20310107443418632,2.825,1.821915201100205,2.7048027515411377,1.7503467798233032
61,8,True,nl,46,0.9993975756867766,7.171880254963883e-66,0.11984678641005699,1.826086956521739,1.9924242151981912,1.7587834596633911,1.9201468229293823
62,8,True,ul,98,0.9710877999064934,1.584633738772671e-61,0.5170149814572904,0.3673469387755102,0.7744353453473581,0.5519248247146606,1.19820237159729
63,8,True,all,304,0.9852965441195726,8.316361881564812e-234,0.33174457693296167,1.881578947368421,1.9362681500841952,1.8676352500915527,1.8873019218444824
64,9,False,ol,597,0.00792611233838045,0.8467549759475937,2.4125710201124213,1.11892797319933,1.7954698782183336,0.950461745262146,1.6169190406799316
65,9,False,nl,1184,-0.05393383769431654,0.06356541443398743,1.669923413176849,0.46621621621621623,1.283552610765098,0.28050896525382996,0.9850226044654846
66,9,False,ul,1892,0.047411300807475944,0.03920278159445429,0.8536867800619788,0.2832980972515856,0.6973796545618478,0.0654115080833435,0.4758518636226654
67,9,False,all,3673,0.07059629552175464,1.8489191204089578e-05,1.4900931103898953,0.4780833106452491,1.17979238651593,0.2786024510860443,0.9752597212791443
68,9,True,ol,56,0.9913626399465436,2.492939449169289e-49,0.3431401379034162,3.142857142857143,1.6413036132965795,2.895739793777466,1.5254263877868652
69,9,True,nl,25,0.9987185508530514,2.5946515774735205e-31,0.1517313820686502,0.8,1.6,0.741038978099823,1.4839794635772705
70,9,True,ul,37,0.9813755086116548,1.1426591402343503e-26,0.7042091311547648,0.5405405405405406,0.8881987419002695,0.8760565519332886,1.4668265581130981
71,9,True,all,118,0.9699592574826938,4.650814478911731e-73,0.4650312315002672,1.8305084745762712,1.905856650423132,1.8059446811676025,1.8222355842590332
72,10,False,ol,1497,-0.004900644869162651,0.8497369937264894,2.4824281405535356,0.9752839011356046,1.7175438616606375,1.2579020261764526,1.7615236043930054
73,10,False,nl,1317,-0.061931376134168534,0.024605293220368647,1.6968265361883668,0.4677296886864085,1.285358974398572,0.32485172152519226,1.021756649017334
74,10,False,ul,2136,0.1623816319066823,4.33449220660311e-14,0.8663156802709535,0.250936329588015,0.662498013332059,0.14528430998325348,0.6661558747291565
75,10,False,all,4950,0.09362902536942735,4.10535305006177e-11,1.7185966845557223,0.5276767676767676,1.2711013504027178,0.5295426845550537,1.281782865524292
76,10,True,ol,164,0.9779305371090721,4.42904710403505e-112,0.4353618578921429,3.0,1.7320508075688772,2.7657642364501953,1.6328507661819458
77,10,True,nl,44,0.9825510273184648,2.5935906318620914e-32,0.35526094289565474,0.6363636363636364,1.4630433581300986,0.5283477306365967,1.2362792491912842
78,10,True,ul,140,0.9833534561041686,4.269410316641284e-104,0.416176636124213,0.6285714285714286,0.9284615319583953,0.8248050212860107,1.2389419078826904
79,10,True,all,348,0.974831756514769,1.310249123548239e-227,0.4182826999888365,1.7471264367816093,1.8521090234077615,1.7020268440246582,1.7562026977539062
80,11,False,ol,1537,-0.03793429368530295,0.13714068605785604,2.567175672038238,0.9186727391021471,1.6824777427470319,1.308031678199768,1.8367375135421753
81,11,False,nl,1492,0.017204659511762994,0.5066605503681283,1.7535144558292513,0.4691689008042895,1.287072704137281,0.45658180117607117,1.213188886642456
82,11,False,ul,1851,0.026040769298447876,0.2628025902807021,0.9367772096982638,0.24635332252836303,0.6572797620009021,0.14492420852184296,0.6770706176757812
83,11,False,all,4880,0.06407844639671212,7.471817941417348e-06,1.8299310028763918,0.5262295081967213,1.2810602216868194,0.6065409183502197,1.388924479484558
84,11,True,ol,146,0.9918530082180022,9.201043500094235e-131,0.2390835136252733,2.9315068493150687,1.7698290848777218,2.8540453910827637,1.737216830253601
85,11,True,nl,74,0.9937175405439317,3.125994451769689e-70,0.2099243862470921,1.2432432432432432,1.8513020313020225,1.2151654958724976,1.8209315538406372
86,11,True,ul,72,0.9887761551992538,1.5419452202842885e-59,0.3869695583928267,0.4444444444444444,0.8314794192830981,0.6078908443450928,1.150169014930725
87,11,True,all,292,0.9897889291164792,2.0756155312769244e-247,0.27689705094261063,1.8904109589041096,1.9413428754034932,1.8848663568496704,1.9133355617523193
88,12,False,ol,1537,-0.015187881166797656,0.5518537907056758,2.4551516072263837,0.9186727391021471,1.6824777427470319,1.223801851272583,1.7364305257797241
89,12,False,nl,1475,0.04250403724005867,0.10273173977615556,1.7466260847778818,0.46915254237288134,1.2870532473353955,0.4860233962535858,1.2366122007369995
90,12,False,ul,1851,0.12429353300023073,8.107752878082423e-08,0.9900088384405585,0.24635332252836303,0.6572797620009021,0.22538624703884125,0.8262326717376709
91,12,False,all,4863,0.086759087044102,1.360901215615399e-09,1.7898349814814971,0.5264240180958256,1.2810289883950754,0.6199995279312134,1.3625680208206177
92,12,True,ol,155,0.9812120693617243,3.047698037791112e-111,0.425853993275671,2.9161290322580644,1.7778378993186927,2.6771113872528076,1.6633706092834473
93,12,True,nl,88,0.9940183587044232,1.688899125215842e-84,0.23821861006167197,1.3181818181818181,1.8801925345405848,1.2389494180679321,1.77781343460083
94,12,True,ul,121,0.9886759171766836,7.012246406315611e-100,0.5274225047053208,0.6611570247933884,0.9408429402153854,0.94098299741745,1.3543791770935059
95,12,True,all,364,0.9738477945504839,4.513445927843149e-235,0.4282678160844089,1.7802197802197801,1.8740694265242466,1.752304196357727,1.7885080575942993
96,13,False,ol,1430,0.005566535973545799,0.8334194825370114,2.369295903963693,0.9622377622377623,1.7096928197412282,1.0053486824035645,1.6492565870285034
97,13,False,nl,1476,0.022071883306014985,0.3967951209786494,1.7604358536837215,0.46883468834688347,1.2866750904522144,0.4775635302066803,1.2302030324935913
98,13,False,ul,1802,0.01932763691424408,0.4122361203107788,1.2797069775739605,0.25305216426193117,0.6648826442961306,0.3816547989845276,1.0987638235092163
99,13,False,all,4708,0.05713175499016529,8.772569737127968e-05,1.81754656792998,0.536108751062022,1.2896936000678454,0.6011627912521362,1.3548393249511719
100,13,True,ol,137,0.97017836864353,5.740019893200518e-85,0.5195371807806533,2.832116788321168,1.8186757959004305,2.565337896347046,1.6979979276657104
101,13,True,nl,78,0.9803352179701368,2.5395863832627702e-55,0.48269555738422365,1.435897435897436,1.9187986598840723,1.2244900465011597,1.669116497039795
102,13,True,ul,105,0.9662503637938069,1.727196076156651e-62,0.6073918744202199,0.6666666666666666,0.9428090415820635,0.9498973488807678,1.3902791738510132
103,13,True,all,320,0.9583056962663885,4.676891440768317e-175,0.5416687476770873,1.78125,1.8747395652463303,1.708439588546753,1.7629286050796509
104,14,False,ol,1537,0.03277457151091265,0.19906733034351207,2.547761460218456,0.9186727391021471,1.6824777427470319,1.5070806741714478,1.8764535188674927
105,14,False,nl,1325,-0.07544638136239898,0.006003054587418489,1.5749208864922075,0.4649056603773585,1.28198493300761,0.16047783195972443,0.7713624238967896
106,14,False,ul,1826,0.1043429865568408,7.899024996513731e-06,1.0505801284017275,0.2497261774370208,0.661127212551968,0.232469379901886,0.8881851434707642
107,14,False,all,4688,0.11040665664402911,3.439643568727193e-14,1.8052995476021376,0.5298634812286689,1.2822477791082947,0.6300139427185059,1.4163073301315308
108,14,True,ol,187,0.9968172235569926,3.6307677200044134e-205,0.17481486464638443,3.165775401069519,1.6251054471206483,3.0575332641601562,1.5745524168014526
109,14,True,nl,63,,,0.0,0.0,0.0,0.0,0.0
110,14,True,ul,110,0.9935285487528025,7.255956715578193e-104,0.7778664462436805,0.5818181818181818,0.9083633452215851,0.9903911352157593,1.556319236755371
111,14,True,all,360,0.9728509635945288,1.2603689214664306e-229,0.4480610920698092,1.8222222222222222,1.9007470915860532,1.8908382654190063,1.8995745182037354
112,15,False,ol,1537,0.039795830532102235,0.11887152560013893,2.409018400510354,0.9186727391021471,1.6824777427470319,1.2352795600891113,1.7630927562713623
113,15,False,nl,1457,-0.015831651568823987,0.5459607118430678,1.7185668452453402,0.47494852436513385,1.2939157610385295,0.35550904273986816,1.1044186353683472
114,15,False,ul,1845,-0.05229331291555198,0.024691615353539073,0.9065838258580106,0.24715447154471545,0.658197242690125,0.0896793007850647,0.5697800517082214
115,15,False,all,4839,0.0954445652039028,2.8741335503857978e-11,1.7452668389412276,0.5290349245711924,1.283663918239597,0.5335936546325684,1.3112800121307373
116,15,True,ol,159,0.997721744619912,9.291006594284148e-186,0.23689090848103253,3.220125786163522,1.5847059872225029,3.0277607440948486,1.4934406280517578
117,15,True,nl,57,0.9998845614285008,1.05225163441585e-101,0.10005631924588113,0.9824561403508771,1.7218026872119718,0.9344269633293152,1.6378182172775269
118,15,True,ul,70,1.0,0.0,0.042469629579441205,0.02857142857142857,0.23733211036908788,0.03364751860499382,0.2794972360134125
119,15,True,all,286,0.9990629808290536,0.0,0.18339790305437342,1.993006993006993,1.9964881877604939,1.8777331113815308,1.8811256885528564
120,16,False,ol,1537,0.005622993514726685,0.8256612297737964,2.089679087015077,0.9186727391021471,1.6824777427470319,0.41745275259017944,1.1429927349090576
121,16,False,nl,1443,-0.005120414520709572,0.8459088216198242,1.555940545959485,0.47955647955647956,1.2993273264044414,0.18726740777492523,0.7979032397270203
122,16,False,ul,1840,0.1640967673429534,1.4183957505468087e-12,0.8148543962658403,0.24782608695652175,0.658964645892981,0.110643669962883,0.5799678564071655
123,16,False,all,4820,0.0560549083312299,9.871348003867351e-05,1.5397147519405454,0.5311203319502075,1.2857608263330587,0.23141829669475555,0.8676320314407349
124,16,True,ol,64,0.9383988625068409,2.6222756677945937e-30,0.7762770163133431,2.8125,1.8275239396516807,2.3674354553222656,1.639310359954834
125,16,True,nl,38,0.9989123685876464,1.55661040623269e-49,0.1132934339962065,0.8421052631578947,1.63072982998207,0.8021634221076965,1.5550739765167236
126,16,True,ul,68,0.962277961117525,4.959650286398465e-39,0.5461771396722772,0.9411764705882353,0.9982683969692436,1.2194682359695435,1.34414541721344
127,16,True,all,170,0.942915455812352,3.9042112323342274e-82,0.5908098802787035,1.6235294117647059,1.7621942911390855,1.5583642721176147,1.6416897773742676
128,17,False,ol,1542,0.03727748138848899,0.14342768527705838,2.1697706759573405,0.9286640726329443,1.6888574039073192,0.5522125363349915,1.3736481666564941
129,17,False,nl,1524,-0.028187504654803706,0.2714576733821091,1.5997612605410703,0.4671916010498688,1.2847172498678205,0.22039057314395905,0.8852739930152893
130,17,False,ul,1851,0.0481117111713491,0.03847834229155624,0.7958537003122289,0.24635332252836303,0.6572797620009021,0.05332653224468231,0.4379565715789795
131,17,False,all,4917,0.06530622826045751,4.581599108396105e-06,1.5836936719063421,0.5287777099857637,1.284533387182149,0.2615607678890228,0.9747819304466248
132,17,True,ol,83,0.989220774755782,2.3302684794915755e-69,0.27087416986210583,2.7951807228915664,1.835126049605761,2.7834949493408203,1.8473670482635498
133,17,True,nl,34,0.9985388360406636,3.918817428374741e-42,0.10585977655987891,0.8235294117647058,1.6173796570432377,0.7945667505264282,1.5627816915512085
134,17,True,ul,31,0.9762740794605858,8.07714737593771e-21,0.5024848271250809,0.5806451612903226,0.9078224051271154,0.8056808114051819,1.2902721166610718
135,17,True,all,148,0.9873535640986832,1.1021265944036141e-118,0.3108203911682465,1.8783783783783783,1.9344159164747596,1.9123071432113647,1.9475233554840088
136,18,False,ol,1537,0.006009378477518337,0.8138938784549774,2.1356038121934255,0.9186727391021471,1.6824777427470319,0.6541858315467834,1.2986063957214355
137,18,False,nl,1350,-0.07887341055606292,0.0037336731300840437,1.6616785095861666,0.4740740740740741,1.29288439877164,0.28308501839637756,0.9293100833892822
138,18,False,ul,1821,0.14699313490354737,2.926545585111476e-10,0.7882084415275419,0.2504118616144975,0.6619045420540313,0.08259797096252441,0.5028319358825684
139,18,False,all,4708,0.051490428421920226,0.000408678421100787,1.587766487700036,0.5327102803738317,1.2858258239172649,0.32669058442115784,0.9770280718803406
140,18,True,ol,103,0.9726323051205882,7.778137575211401e-66,0.7681986311808279,2.8737864077669903,1.799026768450558,2.29099702835083,1.47454833984375
141,18,True,nl,32,0.9999809936396118,7.2217283176918396e-68,0.5289087788914562,0.625,1.4523687548277813,0.4159437417984009,0.9665842652320862
142,18,True,ul,67,0.9832341339967374,9.10820510830442e-50,0.5636266856621774,0.6567164179104478,0.9392318043314789,0.945924699306488,1.3759241104125977
143,18,True,all,202,0.9481021095761667,1.7779835562002118e-101,0.6712606461461929,1.7821782178217822,1.8753426638490016,1.547821044921875,1.5777676105499268
144,19,False,ol,1542,-0.05715855129892476,0.024798028497311296,2.5237367861568107,0.9286640726329443,1.6888574039073192,1.2342867851257324,1.756281852722168
145,19,False,nl,1501,0.08351794039099725,0.0012008515463398494,1.6654760262101398,0.4743504330446369,1.2932105005949004,0.4118231534957886,1.1611789464950562
146,19,False,ul,1851,0.11069227046069875,1.807815066686691e-06,0.9135713523082242,0.24635332252836303,0.6572797620009021,0.14556775987148285,0.7034155130386353
147,19,False,all,4894,0.07908341485298157,3.029676144683729e-08,1.7813533097134726,0.5312627707396812,1.2870354765724343,0.5702620148658752,1.336934208869934
148,19,True,ol,130,0.9932271993288035,1.5530980837735092e-121,0.3008050837832649,3.1076923076923078,1.6652380464904377,2.8962888717651367,1.5625414848327637
149,19,True,nl,89,0.9845897298661179,1.1374871487470664e-67,0.4612782007439704,1.5730337078651686,1.9538934938682386,1.352430820465088,1.7061713933944702
150,19,True,ul,99,0.9903065912327268,5.666431315729914e-85,0.7532667562632569,0.46464646464646464,0.8446280792067422,0.8136794567108154,1.4935736656188965
151,19,True,all,318,0.9625270126773764,3.807125915833398e-181,0.5226738075210182,1.8553459119496856,1.9208766276650104,1.8158433437347412,1.83229660987854
152,20,False,ol,1537,0.01049030742830718,0.6811129184762054,2.398698302059146,0.9186727391021471,1.6824777427470319,1.0851348638534546,1.7193028926849365
153,20,False,nl,1452,-0.021566589990606955,0.4115407818242986,1.5980739392136432,0.4765840220385675,1.2958409462938778,0.22050721943378448,0.8719654679298401
