time,syllablesPerSecond,meanVoiceActivity,stDevVoiceActivity,meanPitch,stDevPitch,meanIntensity,stDevIntensity
719.0,1.4,0.2823333333333333,0.45013467120654266,280.76666666666665,250.78180201566104,305.9093866213152,796.5430850453868
720.0,1.2,0.25433333333333336,0.435485807907547,278.53333333333336,251.90272372926464,274.87669501133786,764.0029880593185
721.0,1.1,0.23233333333333334,0.42232044179219597,266.46666666666664,254.16788852165325,245.03149055177627,721.0935967013813
722.0,1.0,0.21233333333333335,0.40895951986582835,252.83333333333334,250.66525930455984,223.68305215419502,697.5348540736983
723.0,1.0,0.20266666666666666,0.40198617997250713,230.36666666666667,238.2206936621772,219.27770105820105,695.8894664633289
724.0,1.0,0.20233333333333334,0.40173941249963957,230.36666666666667,238.22069366217724,218.75823091458807,696.0153983730446
725.0,1.1333333333333333,0.218,0.41288739384970335,250.06666666666666,252.29994495089022,240.15623922902495,728.7693684363039
726.0,1.2,0.244,0.42949272403615874,259.9,252.7873084894361,256.7105812547241,735.7677525346544
727.0,1.3333333333333333,0.26366666666666666,0.4406206481266573,280.03333333333336,264.619158204558,267.76254535147393,738.6986667065862
728.0,1.4333333333333333,0.27366666666666667,0.44583990649360017,295.23333333333335,268.0642563930439,275.25228987150416,740.311030997156
729.0,1.4333333333333333,0.282,0.449973332543163,304.93333333333334,266.8099115267064,281.3866095993953,745.1835844283345
730.0,1.5,0.29133333333333333,0.4543767404062649,324.4,273.81935651082085,289.43454459561605,752.4901309437764
731.0,1.5666666666666667,0.30933333333333335,0.46221880340615984,341.1333333333333,276.1459437004683,300.78831065759636,756.0755481992693
732.0,1.6666666666666667,0.32033333333333336,0.4666046387348597,342.1,275.41996417592287,307.86840778533633,757.5353279077806
733.0,1.6666666666666667,0.31766666666666665,0.46556906636454654,342.1,275.4199641759229,307.6923828420257,757.5940425367779
734.0,1.6666666666666667,0.31566666666666665,0.4647808324600125,342.1,275.4199641759229,307.5648412698413,757.5918020756653
735.0,1.6333333333333333,0.316,0.46491289506745237,342.1,275.419964175923,308.5273469387755,757.344158981438
736.0,1.5333333333333334,0.3016666666666667,0.45898136006693,317.8666666666667,261.56397985111704,291.83485903250187,739.7000778376758
737.0,1.4333333333333333,0.282,0.449973332543163,315.56666666666666,262.9865247920932,277.66665381708236,731.015508504677
738.0,1.3333333333333333,0.268,0.4429175995600085,306.8666666666667,264.9875133326516,263.0854051398337,719.4336331713728
739.0,1.2333333333333334,0.243,0.4288950920679788,293.23333333333335,263.7265861118712,245.9222365835223,707.7207897483065
740.0,1.2333333333333334,0.232,0.4221089906647334,291.3666666666667,264.74597678193754,237.026552154195,702.8106254103805
741.0,1.2,0.21333333333333335,0.4096611065529924,277.8333333333333,262.7757070625483,217.06228269085412,684.4655187246899
742.0,1.1666666666666667,0.198,0.39849215801568794,261.1333333333333,256.27546811108465,204.28634656084657,674.8012215384144
743.0,1.1,0.17333333333333334,0.3785351884420904,259.3,252.59864739674808,175.0234939531368,624.866132992497
744.0,1.2,0.18666666666666668,0.3896437118987322,255.4,245.9786711620881,193.7678752834467,661.1396577416535
745.0,1.2666666666666666,0.212,0.408724846320847,257.3,245.14419566179143,205.9412059712774,668.6789140724296
746.0,1.2666666666666666,0.22066666666666668,0.41469614043162845,266.6333333333333,243.34947206755052,181.84948412698412,466.2817849039552
747.0,1.4333333333333333,0.23966666666666667,0.42688002477927633,290.8,251.62835028403828,193.34892705971276,479.60523895382477
748.0,1.5,0.25833333333333336,0.4377181995556299,306.6333333333333,249.33905742092546,212.09923620559334,508.4611311352545
749.0,1.5666666666666667,0.2643333333333333,0.44097757564554485,306.6333333333333,249.33905742092543,213.051440287226,508.6989406689222
750.0,1.6,0.25966666666666666,0.43845169504620335,306.6333333333333,249.33905742092546,212.52815948601662,508.81996349483296
751.0,1.5666666666666667,0.25466666666666665,0.43567368012717445,309.1666666666667,247.0332073943816,210.63131292517008,508.96425885635324
752.0,1.6,0.25366666666666665,0.4351090540185171,309.1666666666667,247.03320739438158,209.73359372637944,509.09529824848136
753.0,1.6,0.25266666666666665,0.4345413929906128,311.8333333333333,244.53235414198716,209.47434542705972,509.15884781639505
754.0,1.5333333333333334,0.25266666666666665,0.4345413929906128,311.8333333333333,244.53235414198716,209.51690211640212,509.1430382274759
755.0,1.4,0.23933333333333334,0.4266765623852438,292.1333333333333,235.20951416886936,188.36144520030234,459.5374582271065
756.0,1.2,0.214,0.41012680965769605,282.3,236.03236360013574,171.84804157218443,445.7020585650972
757.0,1.2,0.21166666666666667,0.40848976595367587,283.23333333333335,237.82566210473487,184.36457520786092,489.6581531676998
758.0,1.3333333333333333,0.22666666666666666,0.4186751591495355,270.56666666666666,231.94218867831893,196.404529856387,510.1929004204389
759.0,1.4333333333333333,0.239,0.42647274238806865,269.5,231.36677231904613,203.88232048374906,511.16919180038866
760.0,1.5333333333333334,0.24633333333333332,0.43087494963413947,251.86666666666667,217.31156332684085,204.7719969765684,505.9480699759154
761.0,1.5,0.24266666666666667,0.42869517790098305,236.8,206.5286743610517,205.65014814814816,513.155121057293
762.0,1.5666666666666667,0.248,0.4318518264405049,261.76666666666665,237.3744837920781,222.6892702191988,552.3841657074266
763.0,1.5333333333333334,0.247,0.4312667388055796,261.76666666666665,237.3744837920781,223.00142970521543,552.314813808725
764.0,1.5333333333333334,0.24533333333333332,0.43028466029930573,261.76666666666665,237.3744837920781,223.18851436130007,552.3217137323654
765.0,1.5666666666666667,0.245,0.43008720046055776,261.76666666666665,237.3744837920781,222.08488095238096,552.5496464975284
766.0,1.5333333333333334,0.24366666666666667,0.4292938646454456,261.76666666666665,237.3744837920781,222.0655529100529,552.5550566936148
767.0,1.5333333333333334,0.24333333333333335,0.4290946541524634,261.76666666666665,237.3744837920781,222.26314890400604,552.5187952537574
768.0,1.5666666666666667,0.25133333333333335,0.43377977003185486,270.43333333333334,236.785934736185,228.5980767195767,553.637529300675
769.0,1.6666666666666667,0.262,0.43972263985380605,278.23333333333335,235.55292163097636,233.9314043839758,553.5509955275276
770.0,1.6333333333333333,0.261,0.43917991757365227,278.23333333333335,235.55292163097636,233.99974754346184,553.5286815906413
771.0,1.7,0.259,0.43808560807221236,278.23333333333335,235.55292163097636,234.02025132275134,553.5282149162449
772.0,1.6333333333333333,0.25833333333333336,0.4377181995556299,278.23333333333335,235.55292163097636,233.8633873771731,553.5851958005343
773.0,1.6,0.25366666666666665,0.4351090540185171,257.46666666666664,220.65413861717818,227.14592932728647,543.0141803604628
774.0,1.5333333333333334,0.23433333333333334,0.42358142336771837,240.73333333333332,211.2076282292432,200.95953212396068,494.322140179507
775.0,1.3333333333333333,0.21066666666666667,0.40778207687712587,238.83333333333334,212.0272126140625,188.8759939531368,483.93896794866583
776.0,1.2333333333333334,0.183,0.38666652298847903,231.0,211.93175002029938,174.27026455026456,474.2320957274727
777.0,1.1,0.15966666666666668,0.36629663146447616,210.8,191.70348631849828,157.09101587301586,456.66855428207356
778.0,0.9666666666666667,0.14233333333333334,0.34939169359839617,198.13333333333333,184.59879619205418,137.04459826152683,421.9329938879986
779.0,0.9,0.13533333333333333,0.34207926306957315,198.13333333333333,184.59879619205418,135.06619312169312,421.57728168790607
780.0,0.9333333333333333,0.13466666666666666,0.3413671858213023,198.13333333333333,184.59879619205418,135.0576670445956,421.5776182671841
781.0,0.9333333333333333,0.13366666666666666,0.3402938272859044,198.13333333333333,184.59879619205418,134.93123053665911,421.6064033413276
782.0,0.9333333333333333,0.13366666666666666,0.34029382728590435,198.13333333333333,184.59879619205418,135.06866893424035,421.5757475134586
783.0,1.0,0.13633333333333333,0.34314217979659034,198.13333333333333,184.59879619205418,137.69186356764928,427.3135053676497
784.0,1.2,0.158,0.36474100400146947,209.83333333333334,190.31081302846547,158.3276141345427,466.6129130790971
785.0,1.3666666666666667,0.18133333333333335,0.38529411565134963,218.66666666666666,192.077993418183,176.23496296296295,483.7367603328478
786.0,1.3333333333333333,0.20333333333333334,0.40247843282452894,220.8,191.3242274255929,191.84845842781556,497.11401196478835
787.0,1.4333333333333333,0.21066666666666667,0.4077820768771259,212.26666666666668,172.1942572277665,190.71736243386243,474.85838435690334
788.0,1.2666666666666666,0.189,0.39150862059474495,209.73333333333332,172.97223926270811,171.67379213907785,448.1982715071608
789.0,1.1333333333333333,0.166,0.3720806364217305,201.1,170.75779142789747,157.00436696900982,436.7871415764208
790.0,1.0,0.152,0.35902089075707,199.26666666666668,171.32248992924295,147.34954610733183,427.72502354867066
791.0,0.8333333333333334,0.139,0.3459465276599839,197.6,171.8415161323557,135.27113038548754,408.1393798512078
792.0,0.8,0.125,0.33071891388307384,171.66666666666666,112.71951423284652,110.73224452003024,341.9765487012432
793.0,0.8,0.125,0.33071891388307384,171.66666666666666,112.71951423284652,110.21837717309145,342.01801252773345
794.0,0.8666666666666667,0.12466666666666666,0.33034056500661385,171.66666666666666,112.71951423284652,109.42765910808768,342.06156706098886
795.0,0.7333333333333333,0.12366666666666666,0.3292008842974487,171.66666666666666,112.71951423284652,109.30476077097505,342.09197152131196
796.0,0.8,0.12266666666666666,0.32805419606454594,171.66666666666666,112.71951423284652,109.00706613756614,342.14483370174145
797.0,0.7333333333333333,0.12233333333333334,0.3276703967234283,171.66666666666666,112.71951423284652,109.36753439153439,342.06348210636423
798.0,0.6666666666666666,0.111,0.31413213780191296,163.0,106.17344300718518,103.07319614512471,338.0173835880987
799.0,0.6,0.09766666666666667,0.2968634179027265,155.2,100.28738704343631,98.26607823129251,336.0748903346518
800.0,0.6,0.09766666666666667,0.2968634179027265,155.2,100.2873870434363,98.19505253212397,336.0848078889859
801.0,0.6666666666666666,0.09733333333333333,0.2964111258970479,155.2,100.2873870434363,98.4507970521542,336.0247497474353
802.0,0.5666666666666667,0.09733333333333333,0.29641112589704793,155.2,100.2873870434363,98.6777641723356,335.9950672363439
803.0,0.6666666666666666,0.09733333333333333,0.2964111258970479,155.2,100.2873870434363,98.73369009826153,335.9817636482765
804.0,0.6,0.09733333333333333,0.2964111258970479,155.2,100.2873870434363,98.1797664399093,335.9903092957306
805.0,0.6,0.09733333333333333,0.2964111258970479,155.2,100.2873870434363,97.86047619047619,336.0185080614816
806.0,0.6333333333333333,0.097,0.29595776725742473,155.2,100.2873870434363,98.2897343159486,336.03097098911894
807.0,0.6,0.097,0.29595776725742473,155.2,100.2873870434363,99.05086583522298,336.037908835272
808.0,0.6333333333333333,0.097,0.29595776725742473,155.2,100.2873870434363,99.33509145880575,335.9907973611347
809.0,0.6333333333333333,0.096,0.2945912422323515,155.2,100.2873870434363,99.41680763416478,335.9878352702514
810.0,0.6,0.09533333333333334,0.29367480124942436,155.2,100.2873870434363,99.86812320483749,335.98682878305146
811.0,0.6,0.095,0.293214938227915,155.2,100.2873870434363,100.2362626606198,335.94331690362236
812.0,0.7,0.09433333333333334,0.2922919012828709,155.2,100.2873870434363,99.99296674225246,335.9907544946173
813.0,0.7666666666666667,0.10833333333333334,0.31080093664952524,173.43333333333334,135.70229261962461,115.29994028722601,372.5761091253729
814.0,0.8,0.11366666666666667,0.3174059790797198,164.06666666666666,124.03626709779505,107.5592037037037,333.706043476564
815.0,0.7666666666666667,0.108,0.3103804117530615,164.03333333333333,123.97700951744598,96.71478949357521,309.5560084665716
816.0,0.7,0.093,0.29043243620504927,163.5,123.9243720984698,82.97555555555556,283.10238183006936
817.0,0.5666666666666667,0.07866666666666666,0.2692177970012797,173.9,159.40479917493076,66.46697505668934,236.88672676038397
818.0,0.7,0.10233333333333333,0.30308616303325725,192.0,181.5472390316085,77.38631594860166,252.24067558629346
819.0,0.7,0.108,0.31038041175306147,192.0,181.5472390316085,81.47842479213908,260.1976516964413
820.0,0.8666666666666667,0.13266666666666665,0.33921412444387133,206.46666666666667,192.21198945146187,97.86333560090704,297.48559165947626
821.0,0.8666666666666667,0.13666666666666666,0.3434951075181259,203.66666666666666,194.05417342129547,99.044179138322,297.9517528447524
822.0,0.9333333333333333,0.14066666666666666,0.3476773727977643,220.6,207.69907719262176,101.91493688586546,299.8376235846864
823.0,0.9333333333333333,0.14066666666666666,0.3476773727977643,220.6,207.6990771926218,102.74474187452759,299.7732371767936
824.0,0.9,0.14033333333333334,0.34733253358833077,220.6,207.6990771926218,103.10742781557067,299.7159235452988
825.0,0.9333333333333333,0.14033333333333334,0.3473325335883307,220.6,207.69907719262181,103.23613492063492,299.6925120452854
826.0,0.9,0.14033333333333334,0.3473325335883307,218.13333333333333,209.3123237864624,103.62687528344671,299.5991229912809
827.0,0.9333333333333333,0.14033333333333334,0.34733253358833077,218.13333333333333,209.31232378646243,102.86123922902495,299.72222323177994
828.0,0.9,0.13966666666666666,0.34664086442439085,218.13333333333333,209.3123237864624,102.70233068783068,299.75541210256654
829.0,0.9333333333333333,0.14333333333333334,0.3504124553849205,227.06666666666666,210.6481953927501,104.01805706727136,300.37470131425243
830.0,1.1,0.148,0.355099985919459,234.7,210.77921308010113,106.21951625094482,300.52439538879753
831.0,1.1333333333333333,0.152,0.35902089075707,242.53333333333333,210.73770954013483,108.12926832955404,300.93769044825433
832.0,1.1333333333333333,0.15166666666666667,0.3586974893819148,242.53333333333333,210.73770954013483,107.86881292517006,300.98778075766444
833.0,1.1,0.151,0.3580488793447062,239.56666666666666,213.05549876864376,108.20012585034014,300.9133845416622
834.0,1.2,0.15066666666666667,0.35772366740575356,239.56666666666666,213.05549876864373,107.92453250188964,300.9830756113502
835.0,1.1333333333333333,0.15733333333333333,0.36411475602556337,236.83333333333334,215.08821187803127,112.35546560846561,303.84703780467294
836.0,1.1333333333333333,0.15666666666666668,0.3634862063713315,236.83333333333334,215.08821187803127,111.78856840513983,303.8831151074353
837.0,1.1666666666666667,0.15633333333333332,0.36317106468195154,236.83333333333334,215.08821187803127,111.60735714285714,303.8582164833524
838.0,1.1333333333333333,0.156,0.3628553430776512,236.83333333333334,215.08821187803127,111.2415060468632,303.94101204656806
839.0,1.1666666666666667,0.155,0.36190468358395134,236.83333333333334,215.0882118780313,111.30176870748299,303.9007148505372
840.0,1.1333333333333333,0.155,0.36190468358395134,236.83333333333334,215.08821187803127,110.94019652305367,303.91177014453996
841.0,1.1333333333333333,0.15533333333333332,0.36222215405589,236.83333333333334,215.08821187803127,110.70090022675737,303.93975078330743
842.0,1.1,0.15533333333333332,0.36222215405589,236.83333333333334,215.0882118780313,110.91055555555556,303.88392207189185
843.0,1.0,0.13866666666666666,0.34559835390554483,218.6,200.54269703315882,92.51174905517763,247.42739585707622
844.0,0.7,0.11366666666666667,0.3174059790797198,216.26666666666668,201.2678039053661,79.5418783068783,226.68537671167695
845.0,0.6333333333333333,0.09833333333333333,0.29776482144284416,207.46666666666667,199.50534384377335,72.21072600151172,219.0075942087869
846.0,0.6333333333333333,0.09166666666666666,0.2885548282196797,205.86666666666667,200.00728875607393,70.74844708994709,217.94041690151462
847.0,0.5666666666666667,0.08333333333333333,0.27638539919628335,182.93333333333334,166.24458554257404,65.14507407407407,202.88117637551184
848.0,0.5,0.061,0.23933031567271204,164.83333333333334,140.56862697234004,54.0724410430839,182.68120596100073
849.0,0.4,0.057666666666666665,0.2331120379178695,164.83333333333334,140.56862697234004,49.987668178382464,170.49004114569624
850.0,0.3333333333333333,0.03766666666666667,0.19038878351649002,150.36666666666667,120.7016938111843,33.46665532879818,81.57616688579552
851.0,0.26666666666666666,0.03333333333333333,0.17950549357115014,153.16666666666666,118.97817260134546,32.11221579743008,78.73928027208514
852.0,0.23333333333333334,0.032,0.17600000000000002,136.23333333333332,79.93859448907571,29.843712773998487,68.5978901836192
853.0,0.23333333333333334,0.03233333333333333,0.1768838287941803,136.23333333333332,79.93859448907573,29.201424414210127,68.02807129098952
854.0,0.36666666666666664,0.052,0.22202702538204666,157.06666666666666,135.27969380345135,50.04311829176115,212.23248476963462
855.0,0.6,0.077,0.26659144772479104,159.66666666666666,135.29186556807062,65.45779591836735,244.06029853162227
856.0,0.6666666666666666,0.10066666666666667,0.30088683734734706,171.06666666666666,139.57481466542913,80.91065079365079,276.07650670171586
857.0,0.8666666666666667,0.113,0.3165927984019851,173.1,139.26003255301453,88.59996598639455,286.1082325148524
858.0,0.9,0.11233333333333333,0.31577611618923235,189.73333333333332,160.15699242375345,90.21590627362056,286.2777673503732
859.0,0.8,0.108,0.3103804117530615,180.8,156.27612314959273,88.15970068027211,285.6051394160261
860.0,0.7333333333333333,0.10233333333333333,0.3030861630332573,173.16666666666666,153.44099481197617,85.8702671957672,285.32666857608984
861.0,0.6666666666666666,0.116,0.3202249209540069,176.96666666666667,159.2006037118648,88.67871466364323,286.12066832644393
862.0,0.8333333333333334,0.11566666666666667,0.31982477841607093,188.66666666666666,167.27708217870799,90.44690929705216,285.99115792478284
863.0,0.8,0.115,0.31902194281898544,191.63333333333333,165.23124872600687,90.18057029478459,286.0398805299535
