participant, condition, time, judgement
p3, ol, 1094.97, 
p3, ul, 323.16, 
p3, ul, 326.3, 
p3, ul, 336.57, 
p3, ul, 511.8, 
p3, ul, 576.9, 
p3, ul, 624.95, 
p3, ul, 628.76, 
p3, ul, 634.96, 
p3, ul, 931.49, 
p4, nl, 334.17, 
p4, nl, 334.31, 
p4, nl, 334.55, 
p4, nl, 334.73, 
p4, nl, 335.63, 
p4, nl, 475.08, 
p4, nl, 554.15, 
p4, nl, 622.25, 
p4, nl, 644.06, 
p4, nl, 687.43, 
p4, nl, 734.79, 
p4, nl, 878.77, 
p4, nl, 930.75, 
p4, nl, 958.88, 
p4, ol, 74.48, 
p4, ol, 100.11, 
p4, ol, 156.65, 
p4, ol, 190.99, 
p4, ol, 237.78, 
p4, ol, 239.56, 
p4, ol, 251.05, 
p4, ol, 267.77, 
p4, ol, 321.85, 
p4, ol, 355.88, 
p4, ol, 375.27, 
p4, ol, 552.15, 
p4, ol, 679.56, 
p4, ol, 802.04, 
p4, ol, 811.76, 
p4, ol, 844.12, 
p4, ol, 861.22, 
p4, ol, 873.93, 
p4, ol, 888.96, 
p4, ol, 904.52, 
p4, ol, 907.55, 
p4, ol, 937.2, 
p4, ol, 937.69, 
p4, ol, 966.77, 
p4, ol, 983.47, 
p4, ol, 1014.67, 
p4, ol, 1017.67, 
p4, ul, 316.02, 
p4, ul, 504.29, 
p5, nl, 14.21, 
p5, nl, 153.86, 
p5, nl, 235.98, 
p5, nl, 466.19, 
p5, nl, 613.38, 
p5, nl, 871.07, 
p5, nl, 871.29, 
p5, ol, 6.91, 
p5, ol, 10.73, 
p5, ol, 35.36, 
p5, ol, 124.05, 
p5, ol, 129.14, 
p5, ol, 129.97, 
p5, ol, 181.5, 
p5, ol, 215.6, 
p5, ol, 216.05, 
p5, ol, 232.79, 
p5, ol, 275.79, 
p5, ol, 276.02, 
p5, ol, 276.33, 
p5, ol, 287.02, 
p5, ol, 303.52, 
p5, ol, 303.69, 
p5, ol, 306.17, 
p5, ol, 328.51, 
p5, ol, 328.7, 
p5, ol, 338.23, 
p5, ol, 338.97, 
p5, ol, 339.04, 
p5, ol, 339.46, 
p5, ol, 347.06, 
p5, ol, 348.17, 
p5, ol, 355.22, 
p5, ol, 355.5, 
p5, ol, 355.56, 
p5, ol, 355.62, 
p5, ol, 385.28, 
p5, ol, 395.78, 
p5, ol, 426.86, 
